"Entity","Normalized Emissions","Normalized Land Use","Normalized Water Withdrawls","Normalized Fat","Normalized Protein","Normalized Fiber","Normalized Carbs","Emissions per 1000 kilocalories","Land use per 1000 kilocalories","Water withdrawals per 1000 kilocalories","USD for 1lb","Fat","Protein","Fiber","Carbs","Price Normalized"
"Almond butter",0,0.0160654569846733,0.179915983507348,0.606666666666667,0.00283333333333333,0.0680851063829787,0.031,0.067264785,1.296869855,1151.953867,6.62,91,34,16,31,0.367777778
"Almond milk",0.0735992839760827,0.0415245164156579,0.432060246234204,0.446666666666667,0,0,0.067,2.222229998,2.675062597,2766.258122,0.9,67,0,0,67,0.05
"Almonds",0.00128976176256536,0.0184023737395232,0.172748305893607,0.26,0.00591666666666667,0,0.102,0.105028627,1.423375774,1106.064215,1.76,39,71,0,102,0.097777778
"Apples",0.028378812950005,0.014369853028565,0.0245867378220224,0,0.00858333333333333,0.0127659574468085,0.145,0.898188014,1.205080562,157.4887956,1.31,0,103,3,145,0.072777778
"Asparagus",0.0930325144697875,0.0643320608425527,0.151010578250458,0.24,0.00275,0,0.145,2.791229225,3.909719057,966.8926715,1.65,36,33,0,145,0.091666667
"Avocados",0.0610130380143684,0.0385374762853115,0.115333320765176,0.326666666666667,0.00383333333333333,0,0.098,1.853708448,2.513363103,738.4760185,1.18,49,46,0,98,0.065555556
"Bacon",0.23058096984647,0.265373641699839,0.0918665494257951,0.4,0.00166666666666667,0,0.097,6.818607216,14.79284097,588.2346114,7.38,60,20,0,97,0.41
"Bagels",0.00895242986170396,0.00918131821552058,0.0187666006597719,0.0266666666666667,0.0035,0.0170212765957447,0.197,0.329389277,0.924206045,120.2265074,3.24,4,42,4,197,0.18
"Baguette",0.0106947620540804,0.00746974749166052,0.0210234692656884,0.0466666666666667,0.00275,0.0297872340425532,0.2,0.380404247,0.831552412,134.6756666,1.76,7,33,7,200,0.097777778
"Bananas",0.0276142753584212,0.042315410510677,0.00861439836906693,0.586666666666667,0.002,0,0.029,0.87580258,2.71787661,55.22902073,0.64,88,24,0,29,0.035555556
"Beans",0.0250582676110333,0.155957148547574,0,0,0.01625,0,0.031,0.800963431,8.869722831,0.077022461,0.75,0,195,0,31,0.041666667
"Beef",0.745836427656134,1,0.225128750357026,0.573333333333333,0.00475,0,0,21.90513425,54.56087395,1441.419751,4.94,86,57,0,0,0.274444444
"Beer",0.0184157190631361,0.00626488875750492,0.0182834257689133,0.7,0.00158333333333333,0,0.01,0.606471579,0.766328967,117.1330748,1.66,105,19,0,10,0.092222222
"Blue cheese",0.206495389031775,0.126034220191484,0.0900231542265791,0.546666666666667,0.00491666666666667,0,0.006,6.113388551,7.249884408,576.4326347,17.7,82,59,0,6,0.983333333
"Bread",0.0116052297777528,0.00953645357098015,0.0160891579066924,1,0,0,0,0.407062472,0.943430831,103.0847046,1.76,150,0,0,0,0.097777778
"Breakfast cereal",0.0120530367030436,0.00731956030647872,0.0217529515120867,0.733333333333333,0,0,0,0.420174126,0.823422226,139.3460338,2.84,110,0,0,0,0.157777778
"Broccoli",0.0896083926721443,0.0488997737787117,0.110071169185398,0.74,0,0,0,2.690971954,3.074312467,704.7861237,1.97,111,0,0,0,0.109444444
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.726666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,109,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.726666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.726666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,109,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,109,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Butter",0.0375047636261916,0.0152083912277717,0.0150696570010972,0.746666666666667,0,0,0,1.165393144,1.250473726,96.55754974,4.7,112,0,0,0,0.261111111
"Cabbage",0.101834757394003,0.0429022495207247,0.0702137186086693,0,0.00333333333333333,0.340425531914894,0.24,3.048956288,2.749644369,449.6066032,0.62,0,40,80,240,0.034444444
"Caesar salad",0.0488005561516699,0.0291953099443104,0.0348165996427629,0.28,0.00583333333333333,0.119148936170213,0.085,1.4961306,2.007637199,222.9834822,4.05,42,70,28,85,0.225
"Carrots",0.0774035599647716,0.066224603963309,0.00667993150127337,0.36,0.0108333333333333,0,0,2.333618071,4.012169393,42.84397551,0.52,54,130,0,0,0.028888889
"Cashew nuts",0.0104531225511807,0.0300302052731951,0.0953516258672726,0.613333333333333,0.00341666666666667,0,0,0.373329114,2.052833161,610.5471307,7.15,92,41,0,0,0.397222222
"Cauliflower",0.0863474485514603,0.0342173865206922,0.0624822216533534,0.546666666666667,0.00508333333333333,0,0,2.595492477,2.279500718,400.1072083,2.39,82,61,0,0,0.132777778
"Cheddar cheese",0.182342302376398,0.109466738889725,0.0786850381501486,0.446666666666667,0.00833333333333333,0,0.05,5.406193335,6.353025569,503.8425673,5.99,67,100,0,50,0.332777778
"Cheesecake",0.0215905428786889,0.00623358763782631,0.0213336542333498,0.46,0.00158333333333333,0,0.081,0.699429479,0.764634522,136.6615651,7.52,69,19,0,81,0.417777778
"Chia seeds",0.00936166467509453,0.00981816773057332,0.0092013305083086,0.426666666666667,0.00291666666666667,0.297872340425532,0.086,0.341371551,0.958681057,58.98673879,5.39,64,35,70,86,0.299444444
"Chicken breast",0.196833331082599,0.0991776417869815,0.0551267729535616,0.406666666666667,0.0085,0,0,5.830486359,5.796038812,353.0153887,4.71,61,102,0,0,0.261666667
"Coconut milk",0.436528566719173,0.033055821752849,0.128117163490924,0.566666666666667,0.004,0,0.006,12.84869179,2.216620935,820.3220676,1.48,85,48,0,6,0.082222222
"Coconut oil",0.00928089100880395,0,0.0394187275321353,0.74,0,0,0,0.339006522,0.427187443,252.4477046,5.66,111,0,0,0,0.314444444
"Cod",0.290079924086308,0.065532908506818,0.391146100854947,0.513333333333333,0.00566666666666667,0,0,8.560718955,3.974725368,2504.31332,12.99,77,68,0,0,0.721666667
"Cookies",0.0239960598603746,0.022134069288724,0.0282919539461895,0.34,0.000833333333333333,0.0170212765957447,0.132,0.769862303,1.625386211,181.2107161,4.68,51,10,4,132,0.26
"Cottage cheese",1,0.633009723115179,0.439136870847647,0.466666666666667,0.00583333333333333,0,0.021,29.34696829,34.69433735,2811.564825,3.5,70,70,0,21,0.194444444
"Cow's milk",0.241335838520131,0.135602774384316,0.0929033682434611,0.32,0.0126666666666667,0,0,7.133506582,7.767865521,594.8726408,0.5,48,152,0,0,0.027777778
"Crisps",0.0255445037506024,0.0284604624848665,0.0183665716471882,0.42,0.00108333333333333,0.0297872340425532,0.007,0.815200281,1.967857197,117.6654,9.44,63,13,7,7,0.524444444
"Croissants",0.0113103399405478,0.00835599400645859,0.0136707370160437,0.346666666666667,0.00166666666666667,0.0212765957446809,0.113,0.398428185,0.879528203,87.60123854,8.88,52,20,5,113,0.493333333
"Cucumber",0.138263020126166,0.0917119603217493,0.245591880397134,0.273333333333333,0.01225,0,0,4.11556502,5.391893952,1572.430933,0.5,41,147,0,0,0.027777778
"Dark chocolate",0.123780387850618,0.170225097653536,0.00855687673272575,0.413333333333333,0.000833333333333333,0.480851063829787,0.013,3.691517841,9.642099515,54.86074972,11.29,62,10,113,13,0.627222222
"Doughnuts",0.0176888269347248,0.00701497430718847,0.0109451935520838,0.16,0.00366666666666667,0.0340425531914894,0.148,0.585188393,0.806933863,70.15148036,8.39,24,44,8,148,0.466111111
"Eggs",0.0921396470609513,0.0727497851359292,0.0874627690334971,0,1,0,1,2.765086332,4.365401505,560.04027,2.33,0,12000,0,1000,0.129444444
"Feta cheese",0.169907755662569,0.10174227493795,0.07255980748408,0.526666666666667,0.00441666666666667,0,0.015,5.042113494,5.934871859,464.6269777,7.8,79,53,0,15,0.433333333
"Goat's cheese",0.210145092348673,0.126881602717225,0.0899882357198342,0.546666666666667,0.005,0,0,6.220250782,7.295756348,576.2090758,15.2,82,60,0,0,0.844444444
"Granola",0.0123817863093488,0.0146356556540362,0.0179669182337561,0.193333333333333,0.00216666666666667,0.748936170212766,0.024,0.429799817,1.219469438,115.1066973,7.49,29,26,176,24,0.416111111
"Grapes",0.430474099331219,0.0355168383138174,0.0110759958652502,0,0.00583333333333333,0,0.183,12.67141878,2.349844834,70.98891655,2.36,0,70,0,183,0.131111111
"Ice cream",0.0640281908824609,0.0398434869703746,0.0401538068416008,0.28,0.00708333333333333,0.051063829787234,0.077,1.94199123,2.584062276,257.1539059,5.64,42,85,12,77,0.313333333
"Kale",0.087929095373536,0.0358875172070313,0.0608895490482254,0.173333333333333,0.00075,0.0382978723404255,0.34,2.641802627,2.369911049,389.9104339,2.88,26,9,9,340,0.16
"Kiwis",0.0931661583777366,0.0271379856757037,0.204065768931996,0.106666666666667,0.00133333333333333,0.208510638297872,0.246,2.795142279,1.896266652,1306.568138,2.18,16,16,49,246,0.121111111
"Lamb",0.516235364282935,0.388257269053387,0.00676246259307156,0,0.00275,0,0.2,15.18248319,21.44498473,43.37236466,18,0,33,0,200,1
"Lemons",0.035329137326249,0.0194659314743646,0.0450418655556247,0,0.00208333333333333,0.212765957446809,0.225,1.101691451,1.480950075,288.4487444,2.03,0,25,50,225,0.112777778
"Lentils",0.0647594514294246,0.371450837629539,0.00246474656698428,0,0,0,0.214,1.963402322,20.53519064,15.85707959,0.27,0,0,0,214,0.015
"Lettuce",0.862612364933509,0.632773692450644,0.261145955922762,0,0,0.0595744680851064,0.257,25.32429907,34.68156014,1672.012855,2.84,0,0,14,257,0.157777778
"Limes",0.0462344020583688,0.0290261565097145,0.0582847058296963,0,0.00275,0.285106382978723,0.367,1.420994369,1.9984803,373.2334354,3.49,0,33,67,367,0.193888889
"Macaroni cheese",0.176844474539019,0.113982188451217,0.0829386477632635,0,0.000583333333333333,0.0595744680851064,0.257,5.245218566,6.5974635,531.0754697,1.36,0,7,14,257,0.075555556
"Mackerel",0.211171415378033,0.0404519562826529,0.282264289763535,0.646666666666667,0.000916666666666667,0.0468085106382979,0.032,6.250301216,2.617000963,1807.218851,9.79,97,11,11,32,0.543888889
"Meat pizza",0.078581007885107,0.0412069304149746,0.0433069690446509,0.306666666666667,0.0045,0.0297872340425532,0.086,2.368093397,2.657870496,277.3414093,3.68,46,54,7,86,0.204444444
"Melon",0.0855592148524388,0.0351910433580699,0.216925082439836,0,0.00241666666666667,1,0,2.572413228,2.332208352,1388.897374,5.49,0,29,235,0,0.305
"Milk chocolate",0.0732157108979578,0.0579467684801842,0.017540660289127,0.0666666666666667,0.00166666666666667,0.0851063829787234,0.26,2.210999092,3.564059642,112.3776643,4.69,10,20,20,260,0.260555556
"Mixed salad",0.118158282491119,0.0658022567618665,0.186470882671427,0.28,0.00583333333333333,0.119148936170213,0.085,3.526904263,3.989306182,1193.920325,9.54,42,70,28,85,0.53
"Mozzarella cheese",0.228733706639356,0.138714879006605,0.0976973964354055,0.493333333333333,0.00616666666666667,0,0.007,6.764519897,7.936335217,625.5654673,6.89,74,74,0,7,0.382777778
"Muffins",0.0393819378943878,0.0109877462515524,0.020380769229036,0,0.00141666666666667,0.0723404255319149,0.25,1.22035625,1.021994654,130.5609055,4.89,0,17,17,250,0.271666667
"Mushrooms",0.26686453886617,0.231816072149036,1,0,0.00183333333333333,0.0468085106382979,0.244,7.880979359,12.97624602,6402.381154,1.45,0,22,11,244,0.080555556
"Oat milk",0.0336024643088339,0.0146770239802024,0.00523216553927558,0.153333333333333,0.00258333333333333,0.0638297872340425,0.115,1.051134977,1.221708858,33.57493751,1.25,23,31,15,115,0.069444444
"Olive oil",0.0179200648978703,0.0378900998869672,0.0251749321693432,0,0,0,0.333,0.591958972,2.478318232,161.2545947,3.49,0,0,0,333,0.193888889
"Onions",0.0323353910956893,0.012228157524694,0.0236387875567261,0.926666666666667,0.00116666666666667,0.0595744680851064,0.042,1.014035449,1.089142689,151.4197297,0.99,139,14,14,42,0.055
"Orange juice",0.0386427319459292,0.0236393257613173,0.0556738240195593,0,0.00275,0.0723404255319149,0.267,1.198712519,1.706871293,356.517776,2.75,0,33,17,267,0.152777778
"Oranges",0.0344693555324989,0.0195737631292298,0.0399150632004685,0,0.0015,0,0.223,1.076517295,1.4867874,255.6253965,1.7,0,18,0,223,0.094444444
"Pancakes",0.0187012581908998,0.0101375294832181,0.0209809953696639,0,0.000416666666666667,0.0212765957446809,0.26,0.61483208,0.975969286,134.4037358,1.49,0,5,5,260,0.082777778
"Parmesan cheese",0.215228611106798,0.130566994122708,0.0933040664526203,0.446666666666667,0.0075,0,0.009,6.369094704,7.495260171,597.4380326,4.98,67,90,0,9,0.276666667
