Entity,Emissions per 1000 kilocalories,Land use per 1000 kilocalories,Eutrophication per 1000 kilocalories,Water scarcity per 1000 kilocalories,Water withdrawals per 1000 kilocalories,biodiversity_1000kcal
Ale,0.31733796,0.601152373,1.156800925,1417.812822,37.87327715,15.57054609
Almond butter,0.067264785,1.296869855,3.165000479,67620.14276,1151.953867,42.62623473
Almond milk,2.222229998,2.675062597,9.317069497,282550.6446,2766.258122,99.76636741
Almonds,0.105028627,1.423375774,3.211890056,64275.14955,1106.064215,45.21303849
Apple juice,0.955183712,1.38283908,3.796368477,6754.678597,245.7238086,22.75203208
Apple pie,0.418181792,0.597374137,2.097776532,2607.806727,123.5093293,17.76429617
Apples,0.898188014,1.205080562,2.048057606,4439.593463,157.4887956,18.70649912
Apricot jam,0.761619668,0.769478997,6.730958338,14578.8389,492.2961269,26.15416503
Asparagus,2.791229225,3.909719057,11.00420818,81275.70124,966.8926715,65.94105636
Avocados,1.853708448,2.513363103,5.37665131,65694.89864,738.4760185,49.19141121
Bacon,6.818607216,14.79284097,31.26854669,20370.42734,588.2346114,163.6028373
Bagels,0.329389277,0.924206045,2.468772936,3253.02236,120.2265074,14.9061341
Baguette,0.380404247,0.831552412,3.083167272,3635.078527,134.6756666,15.5451946
Banana loaf,0.556649653,1.077904946,2.809070568,2299.587043,126.6203179,79.06006624
Bananas,0.87580258,2.71787661,3.515259689,397.9174495,55.22902073,245.0715737
Beans,0.800963431,8.869722831,7.608524294,0.638403308,0.077022461,164.8429947
Beef burger,21.90513425,54.56087395,228.5343311,30482.17694,1441.419751,740.7209449
Beef curry,10.61886593,21.61046731,154.3613245,24767.85581,1103.520935,405.961415
Beef meatballs,31.33869128,94.46301214,165.3737778,23894.35873,1036.447784,880.4862124
Beef mince,47.3365981,147.1667813,213.1046418,28257.66141,1239.728804,1292.887447
Beef noodles,1.510110894,2.610892945,8.609661914,9531.58765,259.9858064,50.92895221
Beef steak,68.09595354,223.6901354,195.5239466,26479.39371,1066.173594,1745.609251
Beer,0.606471579,0.766328967,2.657605146,2433.325304,117.1330748,21.09843533
Beetroot,8.46967727,12.63204255,19.53544408,1107.943327,38.91831006,117.4304143
Biscuits,1.127221384,2.167078465,4.149789248,2464.747076,146.2495025,179.1620062
Blue cheese,6.113388551,7.249884408,20.56697236,11967.24568,576.4326347,406.5634842
Brazil nuts,0.377120867,1.921096706,2.94120589,21763.59688,489.5081862,40.76012733
Bread,0.407062472,0.943430831,2.56355124,3292.223305,103.0847046,14.82718654
Breakfast cereal,0.420174126,0.823422226,2.674988416,3468.99938,139.3460338,12.01457436
Brie,5.702704381,6.681748455,19.13715837,10868.7675,525.0151142,366.3098842
Broccoli,2.690971954,3.074312467,14.90245752,49658.75533,704.7861237,34.03117778
Butter,1.165393144,1.250473726,3.650213006,2150.258941,96.55754974,57.61039181
Cabbage,3.048956288,2.749644369,21.22937367,15761.8019,449.6066032,11.50991461
Caesar salad,1.4961306,2.007637199,5.229346042,8148.63236,222.9834822,65.02641074
Camembert,5.171893306,5.992492099,17.4874487,10104.69954,483.9803147,322.423723
Carrot cake,0.643883766,0.86070575,3.046731051,2857.974936,151.3920565,30.38602526
Carrots,2.333618071,4.012169393,14.66759144,2399.723837,42.84397551,7.536260171
Cashew nuts,0.373329114,2.052833161,3.38734574,28334.14108,610.5471307,45.23314663
Cauliflower,2.595492477,2.279500718,17.27505362,15631.52099,400.1072083,10.60832349
Cereal bars,0.729472049,1.369484067,3.453281311,6389.844902,200.0664715,85.40177818
Cheddar cheese,5.406193335,6.353025569,18.26215644,10459.21306,503.8425673,346.3850775
Cheesecake,0.699429479,0.764634522,2.968134302,2682.377038,136.6615651,27.97768438
Cherry tomatoes,12.17343035,4.845475021,32.54935458,29391.25172,1599.887344,34.39544035
Chia seeds,0.341371551,0.958681057,1.676655022,2107.250696,58.98673879,29.36358798
Chicken breast,5.830486359,5.796038812,23.49228853,8604.895944,353.0153887,145.4313644
Chicken burger,2.329614782,2.560246277,9.611961764,4050.58259,157.4170966,61.90498919
Chicken curry,2.663485376,2.940073657,12.75564581,8064.663067,316.9403103,69.8145867
Chicken noodles,1.950933525,2.801367827,9.547649046,10243.17621,352.2680358,57.72068607
Chicken pasta,1.900545719,2.306030864,7.95920014,6856.732822,202.5102641,55.86160978
Chicken sausages,4.020154659,4.074470408,16.71047203,5656.342492,233.9368951,99.70891219
Chicken thighs,5.095226685,5.023467052,20.32707507,7180.760486,294.4683031,124.3694881
Chicken wings,4.65031069,4.613540502,18.93583153,7500.730316,306.8789593,114.3153112
Chickpeas,0.594860302,5.913544399,4.90735839,5616.601469,98.91087092,134.0578799
Chilli con carne,7.844402601,16.39879144,109.5178853,15930.91991,727.0945555,407.3187853
Chocolate biscuits,1.217462751,3.012619447,3.586114085,1862.289189,117.4125659,227.082273
Chocolate cake,0.977520081,2.65247521,3.387130734,2203.608228,128.1385057,193.355423
Chocolate cereals,0.936335986,2.104914788,4.01291881,7256.624995,231.9216217,121.2899208
Chocolate cheesecake,1.198627448,1.592634535,3.655598334,1801.143916,118.2444325,196.2051773
Chocolate spread,1.052630375,1.820383251,4.495631458,7685.783608,228.0066184,190.7595255
Cider,1.94117612,1.78464406,5.172408555,31025.67711,462.3508771,35.71638723
Coconut milk,12.84869179,2.216620935,7.970788189,55484.54149,820.3220676,46.26581871
Coconut oil,0.339006522,0.427187443,4.596931732,4759.137627,252.4477046,12.0540852
Cod,8.560718955,3.974725368,40.97479225,25406.2938,2504.31332,89.17627283
Cod fish fingers,4.701090097,2.706016448,22.98457214,14000.19936,1348.08125,58.35477907
Cod fishcakes,5.021886332,2.383747888,24.10185243,16087.20614,1426.02753,52.85271071
Coffee beans,147.1265352,96.06652643,559.6079771,2081.110221,147.2371215,19686.62609
Coffee pods,167.0775394,106.9745093,633.5112765,7639.36266,562.8196734,22158.03726
Cookies,0.769862303,1.625386211,3.479943912,3495.314721,181.2107161,104.0044043
Cottage cheese,29.34696829,34.69433735,99.68763026,57659.88218,2811.564825,1919.381579
Cottage pie,9.55054203,19.82043562,140.2596256,18390.39429,887.0038863,375.6857541
Courgettes,3.254014948,4.761213353,11.23674884,107680.2146,1243.231058,86.52188298
Couscous,0.85287951,2.083871621,4.333451553,13338.66005,265.0719889,27.05720801
Cow's milk,7.133506582,7.767865521,22.07696753,12606.91929,594.8726408,348.5832391
Cracker biscuits,0.59148399,1.061049882,3.427779975,4727.206053,197.6647324,30.2554756
Crisps,0.815200281,1.967857197,8.818890106,3237.490825,117.6654,48.3730493
Croissants,0.398428185,0.879528203,2.306043182,2291.711032,87.60123854,27.07862453
Cucumber,4.11556502,5.391893952,12.10229594,137648.2833,1572.430933,104.5737196
Dairy-free cheese,0.51550377,0.974645301,2.99892492,12868.93862,286.2425817,38.89365355
Dairy-free ice cream,1.350376732,1.96364362,5.480431913,5346.89707,266.9782157,232.8769055
Dark chocolate,3.691517841,9.642099515,7.535930959,583.9581696,54.86074972,987.8024029
Doughnuts,0.585188393,0.806933863,2.000943848,1731.496895,70.15148036,66.95610952
Egg noodles,0.885474539,1.98231059,6.064219686,6476.63023,199.9619924,36.24774391
Eggs,2.765086332,4.365401505,12.87889718,20686.4947,560.04027,61.54267073
Falafels,0.512893851,3.144614484,5.520099231,1954.270733,37.01925887,31.91955451
Feta cheese,5.042113494,5.934871859,17.05897148,9585.429694,464.6269777,325.9060414
Flapjack,0.444216938,0.909273698,2.697872069,1956.680372,108.5144296,27.20909572
Frozen chips (french fries),0.531024299,1.455529838,6.518773198,1324.64383,35.11073396,27.48389351
Frozen jacket potatoes,0.644653518,1.374312353,5.679237322,1096.343878,18.97005318,13.18904511
Frozen mashed potato,0.871356152,1.316020981,5.168654478,1422.699091,47.95902425,25.09991175
Frozen onion rings,0.300217651,0.802710668,3.127972429,1352.904872,34.10147405,18.7456819
Frozen potato wedges,0.480019771,1.216300876,5.258853018,1102.612054,25.38850527,20.8419061
Frozen roast potatoes,0.945587258,1.920678637,10.26416379,2084.067821,80.02046113,32.0660531
Frozen sweet potato fries,0.281672632,1.362967283,4.634670506,5810.035525,76.66988952,29.62461998
Fruit cake,0.967689303,0.607072759,2.656818045,4133.984019,153.3360924,15.45312721
Fruit smoothies,3.102362731,2.500552718,7.01649742,10190.80367,335.8316518,101.7994352
Garden peas,0.912950794,6.020375874,11.2945059,23240.09116,324.4357529,62.4225985
Goat's cheese,6.220250782,7.295756348,21.20251741,12006.63984,576.2090758,395.815873
Granola,0.429799817,1.219469438,3.581678347,4170.031732,115.1066973,38.53546155
Grapes,12.67141878,2.349844834,7.535173043,4768.02643,70.98891655,39.82152961
Haddock risotto,3.349294528,2.556087512,14.56691941,11773.49848,801.5191455,96.70846105
Halloumi cheese,5.28251881,6.247765319,17.64010763,10294.40377,500.8115093,348.3573733
Ice cream,1.94199123,2.584062276,6.719830293,4415.671765,257.1539059,197.5358146
Ice lollies,1.070699905,1.351663548,6.995741635,9238.561913,446.3259444,59.7877387
Instant coffee,302.6357415,192.1227714,1147.278645,4430.106657,313.7596878,40393.20746
Kale,2.641802627,2.369911049,18.5092786,13786.07728,389.9104339,10.00708905
Kiwis,2.795142279,1.896266652,23.68256909,23704.80721,1306.568138,60.57080271
Lamb (leg),15.18248319,21.44498473,11.55878896,502.1467547,43.37236466,274.2285374
Lamb Hotpot,7.164108985,10.20166664,7.147407871,1999.431691,69.34108528,129.5149536
Lamb burgers,10.81535072,15.30250002,8.453370536,950.6742842,43.2911286,195.5275055
Lamb casserole,11.95055183,16.89788045,9.096969683,385.2066526,33.38937578,216.0536831
Lamb chops,11.82816768,16.71124946,8.996722414,380.9521842,33.02060217,213.6674481
Lamb curry,7.817066965,12.45899311,10.00383494,2533.284403,116.1303075,163.9363605
Lamb moussaka,5.772825612,7.813575045,9.943957431,6776.176363,228.0946049,173.0559816
Lasagne sheets,0.725114375,1.354109324,4.635801577,7907.976591,300.3090327,15.28253105
Lemons,1.101691451,1.480950075,3.819969095,20826.5843,288.4487444,38.10621381
Lentils,1.963402322,20.53519064,21.97192919,759.5562092,15.85707959,333.1092821
Lettuce,25.32429907,34.68156014,26.9796796,130338.0623,1672.012855,474.6573885
Limes,1.420994369,1.9984803,4.969756283,26083.54497,373.2334354,49.17095467
Macaroni cheese,5.245218566,6.5974635,18.25696937,12125.63532,531.0754697,343.4267809
Mackerel,6.250301216,2.617000963,29.30005834,18146.04537,1807.218851,59.39996781
Marmalade,0.763164232,0.757671555,5.582646854,5914.371933,369.1343383,23.20189602
Meat pizza,2.368093397,2.657870496,10.48013685,9130.116459,277.3414093,78.22419062
Meat-free burger,0.54485943,2.052367163,4.912258509,4903.466129,111.097498,28.94783723
Meat-free mince,0.754543499,4.743768776,7.39557917,6644.147572,97.25590288,45.07372579
Meat-free nuggets,0.543400973,1.12204577,2.373373313,11789.29814,162.5080798,17.23741313
Meat-free sausages,0.698614918,2.508641337,4.996341365,7828.033282,131.1946568,30.570113
Melon,2.572413228,2.332208352,24.86801214,27030.27374,1388.897374,71.81641051
Milk chocolate,2.210999092,3.564059642,5.520428222,1694.312851,112.3776643,439.2200323
Mixed salad,3.526904263,3.989306182,8.186546477,92398.75175,1193.920325,73.20628736
Mozzarella cheese,6.764519897,7.936335217,22.89996676,12995.01283,625.5654673,433.7331245
Muesli,0.71121109,1.157961507,3.073429909,3894.93962,99.59251918,25.89121084
Muffins,1.22035625,1.021994654,3.082314288,2722.52877,130.5609055,68.56127545
Mushrooms,7.880979359,12.97624602,45.91840773,389086.0138,6402.381154,317.3872538
Naan,0.369497209,0.833897501,1.954436526,3153.49371,103.0759445,14.40552068
Nut loaf,0.495529479,1.385892458,3.962905026,33568.72021,613.4534486,35.55678968
Oat milk,1.051134977,1.221708858,3.327380756,1879.439988,33.57493751,45.52105572
Olive oil,0.591958972,2.478318232,3.911944137,12472.33846,161.2545947,104.3594815
Onions,1.014035449,1.089142689,4.244208345,720.8190045,151.4197297,4.180160507
Orange juice,1.198712519,1.706871293,5.397723495,17199.59618,356.517776,45.67361254
Oranges,1.076517295,1.4867874,3.562758209,16980.45695,255.6253965,34.10080417
Pain au chocolat,0.734478795,1.276534302,2.4902699,1991.57286,80.65527777,94.27305504
Pancakes,0.61483208,0.975969286,3.154515664,3450.685183,134.4037358,25.40145438
Parmesan cheese,6.369094704,7.495260171,21.35456695,12318.25674,597.4380326,413.4863779
Parsnips,1.511442401,2.773889852,9.418264377,3029.873056,34.21129224,6.702014958
Pasta shells,0.286939159,0.980162354,1.689539181,3606.231836,93.32629474,10.41291396
Peanut butter,0.578049856,1.458490942,2.462874893,16307.88495,438.9951648,17.85968418
Peanuts,0.569190691,1.454221604,3.123875901,12925.98211,389.0636401,19.42903296
Pears,1.661147239,1.819021414,24.8377286,25411.51351,1406.393071,61.65085284
Pecan nuts,0.421710441,1.835971573,3.211035576,22488.88826,506.6522231,40.54734661
Penne pasta,0.611201074,1.523220798,4.275668662,6185.897027,228.5261383,18.17335974
Peppers,2.722288536,3.675391346,7.925275591,95310.72885,1075.5012,71.30008001
Pineapple,1.939460879,2.112082532,29.12609378,29680.15481,1649.722398,72.05412338
Pitta bread,0.254204326,0.805656482,1.837415937,2189.285742,60.98793067,8.55334984
Popcorn,0.419210852,0.734315692,1.999763258,2029.122751,72.82340645,30.00481941
Poppadoms,0.312651711,1.032432033,4.722942882,1587.04881,61.16503491,27.8129692
Pork chops,4.588104959,6.422917874,28.84303375,21681.84848,619.3176481,110.2144875
Pork loin,4.804565022,6.601891187,30.37542497,23138.9466,645.2673848,119.5469527
